In/Out;Input variable;Input variable;Input variable;Input variable;Input variable;Input variable;Input variable;Response variable;Response variable
Run;Anode;Time / min;Purifier / (mL L-1);Base 250 / (mL L-1);Brightener / (mL L-1);NaOH / (g L-1);ZnO / (g L-1);Thickness HCD / microns;Thickness LCD / microns
1;Zn;30;11;12;1.5;140;14;13;5.7
2;Fe;30;5.5;6;1.5;105;14;19.1;5.59
3;Fe;15;5.5;12;1.5;140;7;2.48;2.22
4;Zn;15;11;12;0.75;140;7;2.93;2.08
5;Fe;15;11;6;0.75;140;14;6.58;2.47
6;Zn;15;5.5;12;0.75;105;14;8.42;2.4
7;Fe;30;11;6;1.5;140;7;5.32;4.46
8;Fe;30;11;12;0.75;105;7;6.78;4.23
9;Zn;30;5.5;12;1.5;105;7;9.33;4.45
10;Fe;30;5.5;12;0.75;140;14;9.7;6.19
11;Fe;15;11;12;1.5;105;14;6.77;2.49
12;Zn;30;11;6;0.75;105;14;18.9;3.51
13;Zn;30;5.5;6;0.75;140;7;6.14;4.05
14;Fe;15;5.5;6;0.75;105;7;3.51;2.84
15;Zn;15;11;6;1.5;105;7;3.77;2.31
16;Zn;15;5.5;6;1.5;140;14;9.67;1.43
17;Fe;15;11;6;0.75;140;14;8.31;2.36
18;Zn;30;5.5;6;0.75;140;7;6.2;4.77
19;Zn;15;11;6;1.5;105;7;3.77;1.94
20;Fe;30;11;12;0.75;105;7;6.14;5.6
21;Zn;30;5.5;12;1.5;105;7;7.35;4.99
22;Fe;15;5.5;6;0.75;105;7;3.6;3.26
23;Zn;30;11;12;1.5;140;14;10.3;4.76
24;Fe;15;11;12;1.5;105;14;6.63;3.14
25;Fe;30;11;6;1.5;140;7;5.09;4.07
26;Fe;30;5.5;12;0.75;140;14;10.8;5.42
27;Zn;15;5.5;6;1.5;140;14;9.08;1.13
28;Zn;30;11;6;0.75;105;14;17.1;3.77
29;Zn;15;11;12;0.75;140;7;2.99;2.32
30;Zn;15;5.5;12;0.75;105;14;7.27;1.46
31;Fe;30;5.5;6;1.5;105;14;17.2;4.2
32;Fe;15;5.5;12;1.5;140;7;2.56;2.11
